name,company,city,address,latitude,longitude
Sanlam - Centre de Conseil en Assurances,Sanlam,Rabat,"n° 45, Skhirat, Morocco",33.8483022,-7.0412516
Saham Assurance,Saham,Rabat,"111 Hay Ennasr , Ain El Aouda, Témara, Morocco",33.8005297,-6.7926986
Sanlam - Assurances Taousi,Sanlam,Rabat,"N°11 Av. Mohamed V, Tabriquet 11000, Morocco",34.0470425,-6.8018771
Sanlam - Assurances Les Palmiers,Sanlam,Rabat,"8.bis Rue Dayet Erroumi, Rabat 10000, Morocco",34.0072577,-6.8498216
Sanlam - Centre de Visite Technique Rabat Q.I Takaddoum,Sanlam,Rabat,"Route Ceuta - Hay, Rabat 10000, Morocco",33.9872308,-6.8033476
Sanlam - Lakhalassur,Sanlam,Rabat,"RC N°3 résidence michlifen 2 Boulevard mly driss 1er massira, Témara 12000, Morocco",33.9201397,-6.9097566
Africa First Assist (Ex-Saham Assistance),Saham,Rabat,"appt. n° 1, 6 Av. Moulay Slimane, Rabat, Morocco",34.0183152,-6.8324835
Saham Assurance,Saham,Rabat,"Av. Moulay Rachid, Salé, Morocco",33.8326607,-6.9003334
TA MESNA,Saham,Rabat,"groupe ennajah imm GH16, N10, Tamesna 12200, Morocco",33.8355496,-6.9259817
Sanlam - Assurances Soprassur,Sanlam,Rabat,"13 avenue Hassan II lot maktouba, Sala Al Jadida 11000, Morocco",34.023848,-6.7493335
Les assurances Abouelfath,Saham,Rabat,"25MX+Q8W, Av. Hassan II, Salé, Morocco",34.0344779,-6.8016734
Cat assurance,CAT,Casablanca,"394 Bd d'Afghanistan, Casablanca, Morocco",33.57075149999999,-7.6775142
Sanlam - Agence Rabat Akkari,Sanlam,Rabat,"1 Av. Sidi Mohamed Ben Abdellah, Rabat 10000, Morocco",34.0108816,-6.8591679
Naji,Saham,Rabat,"ZONE NOUIFAT BLED EL HAMRI AIN ATIG, Témara 12013, Morocco",33.882756,-6.9798837
Zurich Assurance,Saham,Rabat,"2587+GW3, Av. Mohammed V, Rabat, Morocco",34.0162589,-6.8351939
Assurance saham,Saham,Rabat,"R647+36Q, Aïn El Aouda, Morocco",33.8052064,-6.7868794
TEMASSUR,Saham,Rabat,"Av Hassan II Imm Regragui n°2 Temara Centre, Témara, Morocco",33.924684,-6.917814
